indicator_ru,region,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
Денежные доходы (в среднем на душу),        Алтайский край,348.80,436.50,505.90,533.00,907.40,1224.20,1690.70,2194.20,2894.50,3495.70,4579.80,6255.90,7438.00,9748.60,9610.70,11029.30,12499.90,13628.90,15916.90
Денежные доходы (в среднем на душу),        Забайкальский край,436.30,571.10,595.50,534.40,914.20,1405.70,2011.50,2993.10,4015.70,4799.70,5887.00,7081.40,8212.20,10971.50,12590.70,14204.50,15968.80,17335.60,19886.10
Денежные доходы (в среднем на душу),                Агинский Бурятский авт.округ,,,381.30,355.70,607.90,995.10,1502.70,2345.90,3236.70,4182.70,5043.30,6806.20,7816.40,,,,,,
Денежные доходы (в среднем на душу),        Красноярский край,594.50,932.40,1150.00,1179.20,1953.60,2773.30,3571.80,4346.10,5508.80,6407.70,7709.90,9640.20,12654.10,15604.50,16569.60,18261.60,20145.50,22137.60,24515.90
Денежные доходы (в среднем на душу),            Таймырский (Долгано-Ненецкий) авт.округ,,,1433.30,1459.90,2236.90,4741.60,7610.60,8460.90,10236.30,11255.10,12168.10,13797.50,,,,,,,
Денежные доходы (в среднем на душу),            Эвенкийский авт.окpуг,,,978.00,937.60,1546.30,2043.90,3366.60,4952.20,6646.20,8385.30,10361.30,12865.70,,,,,,,
Денежные доходы (в среднем на душу),        Иркутская область,593.00,832.80,1013.40,1081.60,1766.80,2374.20,2879.50,3609.90,4549.60,5418.60,7040.90,8684.00,10078.10,12881.60,13511.40,15109.70,16017.20,17720.30,19424.50
Денежные доходы (в среднем на душу),            Усть-Ордынский Бурятский авт.округ,,,323.80,301.80,506.30,634.60,853.00,1222.20,1490.80,1800.40,2220.30,3101.50,4083.30,,,,,,
Денежные доходы (в среднем на душу),        Кемеровская область,704.10,851.00,1070.00,979.40,1522.60,2275.50,3086.50,3993.60,4906.60,6161.60,7812.80,9442.80,11700.40,14439.30,13469.60,15341.20,16666.00,18385.50,19733.60
Денежные доходы (в среднем на душу),        Новосибирская область,341.60,702.40,863.90,758.10,1248.00,1608.30,2140.30,2933.00,3892.90,4968.70,6649.60,8399.40,10316.90,13080.20,15059.40,16276.00,18244.10,20637.10,22183.90
Денежные доходы (в среднем на душу),        Омская область,431.60,672.10,789.00,801.80,1145.90,1582.10,2341.40,3221.80,4512.50,5427.10,6916.50,8993.30,11317.50,13626.50,13813.70,15199.00,17247.90,19468.80,21245.80
